GameId,TeamId,PlayerId,Minutes,FieldGoalsMade,FieldGoalAttempts,3PointsMade,3PointAttempts,FreeThrowsMade,FreeThrowAttempts,PlusMinus,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,PersonalFouls,Steals,Turnovers,BlockedShots,BlocksAgainst,Points,Starter,random_value,add_numerical
1,7,78,2605,5,14,3,3,0,0,12,0,3,3,4,2,1,1,0,0,13,1,0.3660826165949298,1
1,7,79,2359,11,19,3,3,8,8,13,0,8,8,3,2,3,3,1,0,34,1,0.7135190569315564,4
1,7,80,2104,6,7,3,3,3,8,18,2,7,9,1,3,1,1,2,0,15,1,0.0011017392511607493,3
1,7,81,1392,1,5,3,3,0,0,3,0,2,2,0,4,1,0,0,0,2,1,0.027144597576003182,1
1,7,82,2124,5,8,3,3,1,2,5,0,3,3,6,1,1,4,0,0,12,1,0.965166285876554,1
1,7,83,1880,3,9,3,3,3,4,5,0,2,2,2,3,0,0,0,0,10,0,0.9389429593844207,0
1,7,84,1009,0,3,3,3,0,0,5,1,3,4,2,0,1,0,0,0,0,0,0.0694794773302696,1
1,7,85,773,2,4,3,3,2,2,-12,0,6,6,0,3,0,0,3,0,6,0,0.028804362325049904,3
1,7,86,77,0,1,3,3,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0.9982538870483115,0
1,7,87,77,0,0,3,3,0,0,-2,0,1,1,0,0,0,0,0,0,0,0,0.08667652447988283,0
1,7,88,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03297718503457037,0
1,7,89,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4457525798680202,0
1,8,90,1680,5,9,3,3,0,0,-5,0,2,2,3,2,0,0,0,0,11,1,0.09928038137411965,0
1,8,91,1874,2,5,3,3,0,0,-13,2,8,10,2,4,2,0,0,0,5,1,0.16102264459294002,2
1,8,92,1294,6,14,3,3,1,3,-4,8,5,13,0,4,0,0,0,3,13,1,0.5960189618522805,0
1,8,93,2362,5,14,3,3,5,8,-7,0,2,2,1,1,1,2,0,0,18,1,0.07886380427653761,1
1,8,94,1876,2,8,3,3,0,0,-8,1,3,4,3,3,0,3,0,1,5,1,0.41663542013641597,0
